peptide_id,sequence,ml_score,prediction
pep_00919,,0.385,Allergen
pep_00920,,0.407,Allergen
pep_00921,,0.346,Allergen
pep_00922,,0.43,Allergen
pep_00923,,0.328,Allergen
pep_00924,,0.301,Allergen
pep_00925,,0.295,Allergen
pep_00926,,0.307,Allergen
pep_00927,,0.257,Allergen
pep_00928,,0.279,Allergen
pep_00929,,0.28,Allergen
pep_00930,,0.372,Allergen
pep_00931,,0.304,Allergen
pep_00932,,0.385,Allergen
pep_00933,,0.381,Allergen
pep_00934,,0.356,Allergen
pep_00935,,0.309,Allergen
pep_00936,,0.274,Allergen
pep_00937,,0.335,Allergen
pep_00938,,0.442,Allergen
pep_00939,,0.457,Allergen
pep_00940,,0.471,Allergen
pep_00941,,0.349,Allergen
pep_00942,,0.343,Allergen
pep_00943,,0.333,Allergen
pep_00944,,0.396,Allergen
pep_00945,,0.411,Allergen
pep_00946,,0.269,Allergen
pep_00947,,0.366,Allergen
pep_00948,,0.314,Allergen
pep_00949,,0.309,Allergen
pep_00952,,0.403,Allergen
pep_00953,,0.383,Allergen
pep_00954,,0.342,Allergen
pep_00955,,0.361,Allergen
pep_00956,,0.34,Allergen
pep_00957,,0.445,Allergen
pep_00958,,0.4,Allergen
pep_00959,,0.301,Allergen
pep_00960,,0.408,Allergen
pep_00961,,0.308,Allergen
pep_00962,,0.319,Allergen
pep_00963,,0.211,Allergen
pep_00964,,0.278,Allergen
pep_00965,,0.273,Allergen
pep_00966,,0.264,Allergen
pep_00967,,0.213,Allergen
pep_00968,,0.419,Allergen
pep_00969,,0.367,Allergen
pep_00970,,0.302,Allergen
pep_00971,,0.377,Allergen
pep_00972,,0.316,Allergen
pep_00973,,0.364,Allergen
pep_00974,,0.424,Allergen
pep_00975,,0.343,Allergen
pep_00976,,0.425,Allergen
pep_00977,,0.425,Allergen
pep_00978,,0.375,Allergen
pep_00979,,0.347,Allergen
pep_00980,,0.394,Allergen
pep_00981,,0.408,Allergen
pep_00982,,0.3,Allergen
pep_00983,,0.305,Allergen
pep_00984,,0.47,Allergen
pep_00985,,0.391,Allergen
pep_00986,,0.388,Allergen
pep_00987,,0.34,Allergen
pep_00988,,0.266,Allergen
pep_00989,,0.235,Allergen
pep_00990,,0.347,Allergen
pep_00991,,0.341,Allergen
pep_00992,,0.279,Allergen
pep_00993,,0.338,Allergen
pep_00994,,0.38,Allergen
pep_00995,,0.445,Allergen
pep_00996,,0.358,Allergen
pep_00997,,0.304,Allergen
pep_00998,,0.394,Allergen
pep_00999,,0.321,Allergen
pep_01002,,0.4,Allergen
pep_01003,,0.273,Allergen
pep_01004,,0.329,Allergen
pep_01005,,0.377,Allergen
pep_01006,,0.364,Allergen
pep_01007,,0.588,Allergen
pep_01008,,0.676,Allergen
pep_01009,,0.562,Allergen
pep_01010,,0.545,Allergen
pep_01011,,0.447,Allergen
pep_01012,,0.365,Allergen
pep_01013,,0.378,Allergen
pep_01014,,0.554,Allergen
pep_01015,,0.478,Allergen
pep_01016,,0.539,Allergen
pep_01017,,0.501,Allergen
pep_01018,,0.45,Allergen
pep_01019,,0.417,Allergen
pep_01020,,0.359,Allergen
pep_01021,,0.379,Allergen
pep_01022,,0.608,Allergen
pep_01023,,0.449,Allergen
pep_01024,,0.398,Allergen
pep_01025,,0.415,Allergen
pep_01026,,0.549,Allergen
pep_01027,,0.45,Allergen
pep_01028,,0.531,Allergen
pep_01029,,0.442,Allergen
pep_01030,,0.419,Allergen
pep_01031,,0.381,Allergen
pep_01032,,0.475,Allergen
pep_01033,,0.408,Allergen
pep_01034,,0.647,Allergen
pep_01035,,0.368,Allergen
pep_01036,,0.487,Allergen
pep_01037,,0.449,Allergen
pep_01038,,0.449,Allergen
pep_01039,,0.373,Allergen
pep_01040,,0.447,Allergen
pep_01041,,0.39,Allergen
pep_01042,,0.316,Allergen
pep_01043,,0.343,Allergen
pep_01044,,0.425,Allergen
pep_01045,,0.425,Allergen
pep_01046,,0.375,Allergen
pep_01047,,0.608,Allergen
pep_01048,,0.48,Allergen
pep_01049,,0.391,Allergen
pep_01052,,0.54,Allergen
pep_01053,,0.521,Allergen
pep_01054,,0.47,Allergen
pep_01055,,0.458,Allergen
pep_01056,,0.379,Allergen
pep_01057,,0.415,Allergen
pep_01058,,0.358,Allergen
pep_01059,,0.415,Allergen
pep_01060,,0.522,Allergen
pep_01061,,0.364,Allergen
pep_01062,,0.415,Allergen
pep_01063,,0.366,Allergen
pep_01064,,0.59,Allergen
pep_01065,,0.507,Allergen
pep_01066,,0.425,Allergen
pep_01067,,0.532,Allergen
pep_01068,,0.386,Allergen
pep_01069,,0.366,Allergen
pep_01070,,0.532,Allergen
pep_01071,,0.554,Allergen
pep_01072,,0.47,Allergen
pep_01073,,0.562,Allergen
pep_01074,,0.384,Allergen
pep_01075,,0.397,Allergen
pep_01076,,0.515,Allergen
pep_01077,,0.532,Allergen
pep_01078,,0.59,Allergen
pep_01079,,0.365,Allergen
pep_01080,,0.499,Allergen
pep_01081,,0.465,Allergen
pep_01082,,0.403,Allergen
pep_01083,,0.387,Allergen
pep_01084,,0.368,Allergen
pep_01085,,0.547,Allergen
pep_01086,,0.43,Allergen
pep_01087,,0.431,Allergen
pep_01088,,0.428,Allergen
pep_01089,,0.427,Allergen
pep_01090,,0.47,Allergen
pep_01091,,0.42,Allergen
pep_01092,,0.403,Allergen
pep_01093,,0.336,Allergen
pep_01094,,0.364,Allergen
pep_01095,,0.346,Allergen
pep_01096,,0.328,Allergen
pep_01097,,0.35,Allergen
pep_01098,,0.702,Allergen
pep_01099,,0.458,Allergen
pep_01102,,0.434,Allergen
pep_01103,,0.43,Allergen
pep_01104,,0.391,Allergen
pep_01105,,0.393,Allergen
pep_01106,,0.51,Allergen
pep_01107,,0.414,Allergen
pep_01108,,0.421,Allergen
pep_01109,,0.354,Allergen
pep_01110,,0.378,Allergen
pep_01111,,0.352,Allergen
pep_01112,,0.397,Allergen
pep_01113,,0.507,Allergen
pep_01114,,0.481,Allergen
pep_01115,,0.4,Allergen
pep_01116,,0.51,Allergen
pep_01117,,0.483,Allergen
pep_01118,,0.385,Allergen
pep_01119,,0.418,Allergen
pep_01120,,0.638,Allergen
pep_01121,,0.402,Allergen
pep_01122,,0.415,Allergen
pep_01123,,0.483,Allergen
pep_01124,,0.407,Allergen
pep_01125,,0.386,Allergen
pep_01126,,0.419,Allergen
pep_01127,,0.348,Allergen
pep_01128,,0.353,Allergen
pep_01129,,0.326,Allergen
pep_01130,,0.378,Allergen
pep_01131,,0.332,Allergen
pep_01132,,0.407,Allergen
pep_01133,,0.321,Allergen
pep_01134,,0.358,Allergen
pep_01135,,0.342,Allergen
pep_01136,,0.35,Allergen
pep_01137,,0.321,Allergen
pep_01138,,0.307,Allergen
pep_01139,,0.342,Allergen
pep_01140,,0.36,Allergen
pep_01141,,0.331,Allergen
pep_01142,,0.295,Allergen
pep_01143,,0.36,Allergen
pep_01144,,0.347,Allergen
pep_01145,,0.377,Allergen
pep_01146,,0.317,Allergen
pep_01147,,0.424,Allergen
pep_01148,,0.322,Allergen
pep_01149,,0.385,Allergen
pep_01152,,0.409,Allergen
pep_01153,,0.421,Allergen
pep_01154,,0.298,Allergen
pep_01155,,0.323,Allergen
pep_01156,,0.293,Allergen
pep_01157,,0.29,Allergen
pep_01158,,0.316,Allergen
pep_01159,,0.301,Allergen
pep_01160,,0.301,Allergen
pep_01161,,0.27,Allergen
pep_01162,,0.31,Allergen
pep_01163,,0.34,Allergen
pep_01164,,0.266,Allergen
pep_01165,,0.309,Allergen
pep_01166,,0.279,Allergen
pep_01167,,0.309,Allergen
pep_01168,,0.307,Allergen
pep_01169,,0.378,Allergen
pep_01170,,0.415,Allergen
pep_01171,,0.424,Allergen
pep_01172,,0.391,Allergen
pep_01173,,0.358,Allergen
pep_01174,,0.364,Allergen
pep_01175,,0.415,Allergen
pep_01176,,0.397,Allergen
pep_01177,,0.365,Allergen
pep_01178,,0.354,Allergen
pep_01179,,0.522,Allergen
pep_01180,,0.426,Allergen
pep_01181,,0.352,Allergen
pep_01182,,0.426,Allergen
pep_01183,,0.358,Allergen
pep_01184,,0.343,Allergen
pep_01185,,0.36,Allergen
pep_01186,,0.385,Allergen
pep_01187,,0.358,Allergen
pep_01188,,0.316,Allergen
pep_01189,,0.32,Allergen
pep_01190,,0.309,Allergen
pep_01191,,0.415,Allergen
pep_01192,,0.426,Allergen
pep_01193,,0.304,Allergen
pep_01194,,0.357,Allergen
pep_01195,,0.338,Allergen
pep_01196,,0.387,Allergen
pep_01197,,0.307,Allergen
pep_01198,,0.315,Allergen
pep_01199,,0.366,Allergen
pep_01202,,0.346,Allergen
pep_01203,,0.358,Allergen
pep_01204,,0.327,Allergen
pep_01205,,0.27,Allergen
pep_01206,,0.397,Allergen
pep_01207,,0.319,Allergen
pep_01208,,0.315,Allergen
pep_01209,,0.338,Allergen
pep_01210,,0.488,Allergen
pep_01211,,0.373,Allergen
pep_01212,,0.631,Allergen
pep_01213,,0.492,Allergen
pep_01214,,0.406,Allergen
pep_01215,,0.379,Allergen
pep_01216,,0.452,Allergen
pep_01217,,0.332,Allergen
pep_01218,,0.503,Allergen
pep_01219,,0.418,Allergen
pep_01220,,0.556,Allergen
pep_01221,,0.466,Allergen
pep_01222,,0.623,Allergen
pep_01223,,0.456,Allergen
pep_01224,,0.406,Allergen
pep_01225,,0.397,Allergen
pep_01226,,0.379,Allergen
pep_01227,,0.484,Allergen
pep_01228,,0.317,Allergen
pep_01229,,0.428,Allergen
pep_01230,,0.317,Allergen
pep_01231,,0.307,Allergen
pep_01232,,0.42,Allergen
pep_01233,,0.304,Allergen
pep_01234,,0.452,Allergen
pep_01235,,0.304,Allergen
pep_01236,,0.321,Allergen
pep_01237,,0.309,Allergen
pep_01238,,0.425,Allergen
pep_01239,,0.386,Allergen
pep_01240,,0.366,Allergen
pep_01241,,0.507,Allergen
pep_01242,,0.506,Allergen
pep_01243,,0.607,Allergen
pep_01244,,0.51,Allergen
pep_01245,,0.375,Allergen
pep_01246,,0.483,Allergen
pep_01247,,0.315,Allergen
pep_01248,,0.309,Allergen
pep_01249,,0.397,Allergen
pep_01252,,0.559,Allergen
pep_01253,,0.43,Allergen
pep_01254,,0.534,Allergen
pep_01255,,0.448,Allergen
pep_01256,,0.393,Allergen
pep_01257,,0.37,Allergen
pep_01258,,0.343,Allergen
pep_01259,,0.513,Allergen
pep_01260,,0.415,Allergen
pep_01261,,0.395,Allergen
pep_01262,,0.51,Allergen
pep_01263,,0.483,Allergen
pep_01264,,0.36,Allergen
pep_01265,,0.469,Allergen
pep_01266,,0.486,Allergen
pep_01267,,0.464,Allergen
pep_01268,,0.381,Allergen
pep_01269,,0.487,Allergen
pep_01270,,0.324,Allergen
pep_01271,,0.513,Allergen
pep_01272,,0.436,Allergen
pep_01273,,0.469,Allergen
pep_01274,,0.411,Allergen
pep_01275,,0.396,Allergen
pep_01276,,0.388,Allergen
pep_01277,,0.337,Allergen
pep_01278,,0.47,Allergen
pep_01279,,0.323,Allergen
pep_01280,,0.421,Allergen
pep_01281,,0.542,Allergen
pep_01282,,0.444,Allergen
pep_01283,,0.4,Allergen
pep_01284,,0.359,Allergen
pep_01285,,0.498,Allergen
pep_01286,,0.345,Allergen
pep_01287,,0.331,Allergen
pep_01288,,0.46,Allergen
pep_01289,,0.514,Allergen
pep_01290,,0.396,Allergen
pep_01291,,0.449,Allergen
pep_01292,,0.418,Allergen
pep_01293,,0.404,Allergen
pep_01294,,0.374,Allergen
pep_01295,,0.479,Allergen
pep_01296,,0.353,Allergen
pep_01297,,0.449,Allergen
pep_01298,,0.463,Allergen
pep_01299,,0.418,Allergen
pep_01302,,0.33,Allergen
pep_01303,,0.336,Allergen
pep_01304,,0.34,Allergen
pep_01305,,0.304,Allergen
pep_01306,,0.308,Allergen
pep_01307,,0.36,Allergen
pep_01308,,0.381,Allergen
pep_01309,,0.302,Allergen
pep_01310,,0.274,Allergen
pep_01311,,0.335,Allergen
pep_01312,,0.416,Allergen
pep_01313,,0.4,Allergen
pep_01314,,0.313,Allergen
pep_01315,,0.388,Allergen
pep_01316,,0.377,Allergen
pep_01317,,0.554,Allergen
pep_01318,,0.479,Allergen
pep_01319,,0.424,Allergen
pep_01320,,0.464,Allergen
pep_01321,,0.384,Allergen
pep_01322,,0.51,Allergen
pep_01323,,0.554,Allergen
pep_01324,,0.418,Allergen
pep_01325,,0.404,Allergen
pep_01326,,0.388,Allergen
pep_01327,,0.51,Allergen
pep_01328,,0.402,Allergen
pep_01329,,0.346,Allergen
pep_01330,,0.331,Allergen
pep_01331,,0.301,Allergen
pep_01332,,0.327,Allergen
pep_01333,,0.307,Allergen
pep_01334,,0.397,Allergen
pep_01335,,0.319,Allergen
pep_01336,,0.338,Allergen
pep_01337,,0.338,Allergen
pep_01338,,0.513,Allergen
pep_01339,,0.395,Allergen
pep_01340,,0.335,Allergen
pep_01341,,0.377,Allergen
pep_01342,,0.36,Allergen
pep_01343,,0.506,Allergen
pep_01344,,0.421,Allergen
pep_01345,,0.449,Allergen
pep_01346,,0.399,Allergen
pep_01347,,0.34,Allergen
pep_01348,,0.456,Allergen
pep_01349,,0.518,Allergen
pep_01352,,0.525,Allergen
pep_01353,,0.606,Allergen
pep_01354,,0.606,Allergen
pep_01355,,0.35,Allergen
pep_01356,,0.492,Allergen
pep_01357,,0.397,Allergen
pep_01358,,0.545,Allergen
pep_01359,,0.365,Allergen
pep_01360,,0.59,Allergen
pep_01361,,0.361,Allergen
pep_01362,,0.346,Allergen
pep_01363,,0.488,Allergen
pep_01364,,0.504,Allergen
pep_01365,,0.506,Allergen
pep_01366,,0.464,Allergen
pep_01367,,0.506,Allergen
pep_01368,,0.583,Allergen
pep_01369,,0.589,Allergen
pep_01370,,0.525,Allergen
pep_01371,,0.559,Allergen
pep_01372,,0.509,Allergen
pep_01373,,0.45,Allergen
pep_01374,,0.386,Allergen
pep_01375,,0.331,Allergen
pep_01376,,0.432,Allergen
pep_01377,,0.308,Allergen
pep_01378,,0.413,Allergen
pep_01379,,0.329,Allergen
pep_01380,,0.354,Allergen
pep_01381,,0.367,Allergen
pep_01382,,0.367,Allergen
pep_01383,,0.356,Allergen
pep_01384,,0.312,Allergen
pep_01385,,0.39,Allergen
pep_01386,,0.401,Allergen
pep_01387,,0.604,Allergen
pep_01388,,0.361,Allergen
pep_01389,,0.45,Allergen
pep_01390,,0.36,Allergen
pep_01391,,0.457,Allergen
pep_01392,,0.555,Allergen
pep_01393,,0.377,Allergen
pep_01394,,0.335,Allergen
pep_01395,,0.567,Allergen
pep_01396,,0.419,Allergen
pep_01397,,0.495,Allergen
pep_01398,,0.54,Allergen
pep_01399,,0.56,Allergen
pep_01402,,0.335,Allergen
pep_01403,,0.322,Allergen
pep_01404,,0.333,Allergen
pep_01405,,0.328,Allergen
pep_01406,,0.351,Allergen
pep_01407,,0.302,Allergen
pep_01408,,0.503,Allergen
pep_01409,,0.284,Allergen
pep_01410,,0.345,Allergen
pep_01411,,0.454,Allergen
pep_01412,,0.36,Allergen
pep_01413,,0.364,Allergen
pep_01414,,0.333,Allergen
pep_01415,,0.288,Allergen
pep_01416,,0.429,Allergen
pep_01417,,0.339,Allergen
pep_01418,,0.487,Allergen
pep_01419,,0.545,Allergen
pep_01420,,0.517,Allergen
pep_01421,,0.623,Allergen
pep_01422,,0.417,Allergen
pep_01423,,0.433,Allergen
pep_01424,,0.363,Allergen
pep_01425,,0.401,Allergen
pep_01426,,0.531,Allergen
pep_01427,,0.447,Allergen
pep_01428,,0.535,Allergen
pep_01429,,0.326,Allergen
pep_01430,,0.588,Allergen
pep_01431,,0.391,Allergen
pep_01432,,0.423,Allergen
pep_01433,,0.291,Allergen
pep_01434,,0.332,Allergen
pep_01435,,0.33,Allergen
pep_01436,,0.32,Allergen
pep_01437,,0.366,Allergen
pep_01438,,0.367,Allergen
pep_01439,,0.384,Allergen
pep_01440,,0.421,Allergen
pep_01441,,0.29,Allergen
pep_01442,,0.356,Allergen
pep_01443,,0.353,Allergen
pep_01444,,0.664,Allergen
pep_01445,,0.511,Allergen
pep_01446,,0.535,Allergen
pep_01447,,0.379,Allergen
pep_01448,,0.554,Allergen
pep_01449,,0.307,Allergen
pep_01452,,0.495,Allergen
pep_01453,,0.48,Allergen
pep_01454,,0.408,Allergen
pep_01455,,0.337,Allergen
pep_01456,,0.355,Allergen
pep_01457,,0.485,Allergen
pep_01458,,0.462,Allergen
pep_01459,,0.551,Allergen
pep_01460,,0.551,Allergen
pep_01461,,0.586,Allergen
pep_01462,,0.54,Allergen
pep_01463,,0.35,Allergen
pep_01464,,0.398,Allergen
pep_01465,,0.406,Allergen
pep_01466,,0.46,Allergen
pep_01467,,0.48,Allergen
pep_01468,,0.619,Allergen
pep_01469,,0.484,Allergen
pep_01470,,0.448,Allergen
pep_01471,,0.443,Allergen
pep_01472,,0.347,Allergen
pep_01473,,0.305,Allergen
pep_01474,,0.266,Allergen
pep_01475,,0.372,Allergen
pep_01476,,0.358,Allergen
pep_01477,,0.424,Allergen
pep_01478,,0.436,Allergen
pep_01479,,0.338,Allergen
pep_01480,,0.428,Allergen
pep_01481,,0.48,Allergen
pep_01482,,0.341,Allergen
pep_01483,,0.379,Allergen
pep_01484,,0.358,Allergen
pep_01485,,0.579,Allergen
pep_01486,,0.304,Allergen
pep_01487,,0.509,Allergen
pep_01488,,0.619,Allergen
pep_01489,,0.337,Allergen
pep_01490,,0.443,Allergen
pep_01491,,0.497,Allergen
pep_01492,,0.412,Allergen
pep_01493,,0.397,Allergen
pep_01494,,0.523,Allergen
pep_01495,,0.503,Allergen
pep_01496,,0.436,Allergen
pep_01497,,0.395,Allergen
pep_01498,,0.476,Allergen
pep_01499,,0.331,Allergen
pep_01502,,0.286,Allergen
pep_01503,,0.359,Allergen
pep_01504,,0.359,Allergen
pep_01505,,0.316,Allergen
pep_01506,,0.379,Allergen
pep_01507,,0.435,Allergen
pep_01508,,0.549,Allergen
pep_01509,,0.401,Allergen
pep_01510,,0.396,Allergen
pep_01511,,0.397,Allergen
pep_01512,,0.346,Allergen
pep_01513,,0.4,Allergen
pep_01514,,0.342,Allergen
pep_01515,,0.446,Allergen
pep_01516,,0.395,Allergen
pep_01517,,0.373,Allergen
pep_01518,,0.314,Allergen
pep_01519,,0.523,Allergen
pep_01520,,0.333,Allergen
pep_01521,,0.445,Allergen
pep_01522,,0.332,Allergen
pep_01523,,0.416,Allergen
pep_01524,,0.455,Allergen
pep_01525,,0.399,Allergen
pep_01526,,0.324,Allergen
pep_01527,,0.324,Allergen
pep_01528,,0.28,Allergen
pep_01529,,0.453,Allergen
pep_01530,,0.298,Allergen
pep_01531,,0.313,Allergen
pep_01532,,0.344,Allergen
pep_01533,,0.542,Allergen
pep_01534,,0.375,Allergen
pep_01535,,0.416,Allergen
pep_01536,,0.356,Allergen
pep_01537,,0.449,Allergen
pep_01538,,0.352,Allergen
pep_01539,,0.359,Allergen
pep_01540,,0.335,Allergen
pep_01541,,0.374,Allergen
pep_01542,,0.344,Allergen
pep_01543,,0.41,Allergen
pep_01544,,0.379,Allergen
pep_01545,,0.336,Allergen
pep_01546,,0.48,Allergen
pep_01547,,0.377,Allergen
pep_01548,,0.365,Allergen
pep_01549,,0.417,Allergen
pep_01552,,0.335,Allergen
pep_01553,,0.523,Allergen
pep_01554,,0.363,Allergen
pep_01555,,0.382,Allergen
pep_01556,,0.606,Allergen
pep_01557,,0.559,Allergen
pep_01558,,0.557,Allergen
pep_01559,,0.675,Allergen
pep_01560,,0.46,Allergen
pep_01561,,0.464,Allergen
pep_01562,,0.36,Allergen
pep_01563,,0.358,Allergen
pep_01564,,0.335,Allergen
pep_01565,,0.419,Allergen
pep_01566,,0.358,Allergen
pep_01567,,0.354,Allergen
pep_01568,,0.346,Allergen
pep_01569,,0.357,Allergen
pep_01570,,0.591,Allergen
pep_01571,,0.315,Allergen
pep_01572,,0.558,Allergen
pep_01573,,0.572,Allergen
pep_01574,,0.388,Allergen
pep_01575,,0.397,Allergen
pep_01576,,0.518,Allergen
pep_01577,,0.449,Allergen
pep_01578,,0.31,Allergen
pep_01579,,0.382,Allergen
pep_01580,,0.309,Allergen
pep_01581,,0.655,Allergen
pep_01582,,0.331,Allergen
pep_01583,,0.495,Allergen
pep_01584,,0.345,Allergen
pep_01585,,0.558,Allergen
pep_01586,,0.555,Allergen
pep_01587,,0.352,Allergen
pep_01588,,0.433,Allergen
pep_01589,,0.351,Allergen
pep_01590,,0.392,Allergen
pep_01591,,0.355,Allergen
pep_01592,,0.35,Allergen
pep_01593,,0.436,Allergen
pep_01594,,0.407,Allergen
pep_01595,,0.364,Allergen
pep_01596,,0.277,Allergen
pep_01597,,0.31,Allergen
pep_01598,,0.283,Allergen
pep_01599,,0.39,Allergen
pep_01602,,0.321,Allergen
pep_01603,,0.3,Allergen
pep_01604,,0.357,Allergen
pep_01605,,0.351,Allergen
pep_01606,,0.343,Allergen
pep_01607,,0.382,Allergen
pep_01608,,0.354,Allergen
pep_01609,,0.383,Allergen
pep_01610,,0.226,Allergen
pep_01611,,0.42,Allergen
pep_01612,,0.631,Allergen
pep_01613,,0.416,Allergen
pep_01614,,0.541,Allergen
pep_01615,,0.531,Allergen
pep_01616,,0.346,Allergen
pep_01617,,0.383,Allergen
pep_01618,,0.376,Allergen
pep_01619,,0.393,Allergen
pep_01620,,0.381,Allergen
pep_01621,,0.335,Allergen
pep_01622,,0.331,Allergen
pep_01623,,0.334,Allergen
pep_01624,,0.332,Allergen
pep_01625,,0.361,Allergen
pep_01626,,0.331,Allergen
pep_01627,,0.415,Allergen
pep_01628,,0.351,Allergen
pep_01629,,0.348,Allergen
pep_01630,,0.46,Allergen
pep_01631,,0.376,Allergen
pep_01632,,0.5,Allergen
pep_01633,,0.4,Allergen
pep_01634,,0.345,Allergen
pep_01635,,0.296,Allergen
pep_01636,,0.465,Allergen
pep_01637,,0.331,Allergen
pep_01638,,0.555,Allergen
pep_01639,,0.466,Allergen
pep_01640,,0.348,Allergen
pep_01641,,0.486,Allergen
pep_01642,,0.333,Allergen
pep_01643,,0.341,Allergen
pep_01644,,0.555,Allergen
pep_01645,,0.554,Allergen
pep_01646,,0.432,Allergen
pep_01647,,0.331,Allergen
pep_01648,,0.432,Allergen
pep_01649,,0.353,Allergen
pep_01652,,0.358,Allergen
pep_01653,,0.353,Allergen
pep_01654,,0.46,Allergen
pep_01655,,0.361,Allergen
pep_01656,,0.48,Allergen
pep_01657,,0.442,Allergen
pep_01658,,0.349,Allergen
pep_01659,,0.504,Allergen
pep_01660,,0.352,Allergen
pep_01661,,0.408,Allergen
pep_01662,,0.415,Allergen
pep_01663,,0.466,Allergen
pep_01664,,0.482,Allergen
pep_01665,,0.332,Allergen
pep_01666,,0.498,Allergen
pep_01667,,0.445,Allergen
pep_01668,,0.399,Allergen
pep_01669,,0.353,Allergen
pep_01670,,0.317,Allergen
pep_01671,,0.313,Allergen
pep_01672,,0.445,Allergen
pep_01673,,0.283,Allergen
pep_01674,,0.363,Allergen
pep_01675,,0.345,Allergen
pep_01676,,0.446,Allergen
pep_01677,,0.423,Allergen
pep_01678,,0.475,Allergen
pep_01679,,0.417,Allergen
pep_01680,,0.342,Allergen
pep_01681,,0.353,Allergen
pep_01682,,0.404,Allergen
pep_01683,,0.338,Allergen
pep_01684,,0.322,Allergen
pep_01685,,0.283,Allergen
pep_01686,,0.332,Allergen
pep_01687,,0.368,Allergen
pep_01688,,0.414,Allergen
pep_01689,,0.342,Allergen
pep_01690,,0.387,Allergen
pep_01691,,0.305,Allergen
pep_01692,,0.392,Allergen
pep_01693,,0.406,Allergen
pep_01694,,0.352,Allergen
pep_01695,,0.351,Allergen
pep_01696,,0.419,Allergen
pep_01697,,0.537,Allergen
pep_01698,,0.5,Allergen
pep_01699,,0.554,Allergen
pep_01702,,0.424,Allergen
pep_01703,,0.341,Allergen
pep_01704,,0.413,Allergen
pep_01705,,0.35,Allergen
pep_01706,,0.484,Allergen
pep_01707,,0.419,Allergen
pep_01708,,0.463,Allergen
pep_01709,,0.456,Allergen
pep_01710,,0.403,Allergen
pep_01711,,0.417,Allergen
pep_01712,,0.417,Allergen
pep_01713,,0.33,Allergen
pep_01714,,0.297,Allergen
pep_01715,,0.424,Allergen
pep_01716,,0.322,Allergen
pep_01717,,0.339,Allergen
pep_01718,,0.262,Allergen
pep_01719,,0.291,Allergen
pep_01720,,0.359,Allergen
pep_01721,,0.377,Allergen
pep_01722,,0.361,Allergen
pep_01723,,0.362,Allergen
pep_01724,,0.425,Allergen
pep_01725,,0.385,Allergen
pep_01726,,0.318,Allergen
pep_01727,,0.425,Allergen
pep_01728,,0.388,Allergen
pep_01729,,0.314,Allergen
pep_01730,,0.345,Allergen
pep_01731,,0.381,Allergen
pep_01732,,0.487,Allergen
pep_01733,,0.405,Allergen
pep_01734,,0.353,Allergen
pep_01735,,0.364,Allergen
pep_01736,,0.375,Allergen
pep_01737,,0.352,Allergen
pep_01738,,0.486,Allergen
pep_01739,,0.333,Allergen
pep_01740,,0.347,Allergen
pep_01741,,0.276,Allergen
pep_01742,,0.399,Allergen
pep_01743,,0.425,Allergen
pep_01744,,0.394,Allergen
pep_01745,,0.375,Allergen
pep_01746,,0.48,Allergen
pep_01747,,0.425,Allergen
pep_01748,,0.35,Allergen
pep_01749,,0.399,Allergen
pep_01752,,0.335,Allergen
pep_01753,,0.402,Allergen
pep_01754,,0.315,Allergen
pep_01755,,0.363,Allergen
pep_01756,,0.345,Allergen
pep_01757,,0.345,Allergen
pep_01758,,0.34,Allergen
pep_01759,,0.445,Allergen
pep_01760,,0.368,Allergen
pep_01761,,0.479,Allergen
pep_01762,,0.621,Allergen
pep_01763,,0.342,Allergen
pep_01764,,0.483,Allergen
pep_01765,,0.393,Allergen
pep_01766,,0.358,Allergen
pep_01767,,0.404,Allergen
pep_01768,,0.321,Allergen
pep_01769,,0.295,Allergen
pep_01770,,0.276,Allergen
pep_01771,,0.336,Allergen
pep_01772,,0.392,Allergen
pep_01773,,0.384,Allergen
pep_01774,,0.442,Allergen
pep_01775,,0.43,Allergen
pep_01776,,0.451,Allergen
pep_01777,,0.308,Allergen
pep_01778,,0.416,Allergen
pep_01779,,0.358,Allergen
pep_01780,,0.46,Allergen
pep_01781,,0.43,Allergen
pep_01782,,0.359,Allergen
pep_01783,,0.343,Allergen
pep_01784,,0.292,Allergen
pep_01785,,0.321,Allergen
pep_01786,,0.229,Allergen
pep_01787,,0.301,Allergen
pep_01788,,0.321,Allergen
pep_01789,,0.31,Allergen
pep_01790,,0.306,Allergen
pep_01791,,0.226,Allergen
pep_01792,,0.463,Allergen
pep_01793,,0.247,Allergen
pep_01794,,0.486,Allergen
pep_01795,,0.302,Allergen
pep_01796,,0.315,Allergen
pep_01797,,0.387,Allergen
pep_01798,,0.406,Allergen
pep_01799,,0.301,Allergen
pep_01802,,0.302,Allergen
pep_01803,,0.276,Allergen
pep_01804,,0.35,Allergen
pep_01805,,0.406,Allergen
pep_01806,,0.379,Allergen
pep_01807,,0.462,Allergen
pep_01808,,0.389,Allergen
pep_01809,,0.312,Allergen
pep_01810,,0.323,Allergen
pep_01811,,0.439,Allergen
pep_01812,,0.347,Allergen
pep_01813,,0.337,Allergen
pep_01814,,0.386,Allergen
pep_01815,,0.341,Allergen
pep_01816,,0.365,Allergen
pep_01817,,0.255,Allergen
pep_01818,,0.368,Allergen
pep_01819,,0.299,Allergen
pep_01820,,0.34,Allergen
pep_01821,,0.424,Allergen
pep_01822,,0.387,Allergen
pep_01823,,0.309,Allergen
pep_01824,,0.327,Allergen
pep_01825,,0.328,Allergen
pep_01826,,0.371,Allergen
pep_01827,,0.469,Allergen
